Food Item,Digestion/Food Buff,Held Item,Description,Capability,Description,Weather,Effect
Bitter Treat,"Gain +5 damage reduction against a special attack.  If the user likes Sour, gain +10 damage reduction instead.  If the user dislikes Sour, they become Enraged.",Normal Booster,Grants a +5 Damage Bonus to all direct-damage Normal Moves used by the holder.,Underdog,This capability denotes Pokémon who qualify for the Underdog Class’s effects. They are Pokémon species with a Base Stat total of 45 or less. Some exceptions apply.,,
Sweet Confection,"Gain +4 Evasion until the end of the user's next turn.  If the user likes Sweet, gain +4 Accuracy as well.  If the user dislikes Sweet, they become Enraged.",Poison Booster,Grants a +5 Damage Bonus to all direct-damage Poison Moves used by the holder.,Vacuum Immunity,Prevents all injuries from vacuum exposure.,,
Herbal Restorative,[Playtest] +2 bonus on a Save Check.,Psychic Booster,Grants a +5 Damage Bonus to all direct-damage Psychic Moves used by the holder.,Vacuum Tolerance,"Slows down the rate of injury gain, causing the Pokémon with the capability to gain injuries from vacuum exposure once every 5 minutes instead of one every round.",,
,,Rock Booster,Grants a +5 Damage Bonus to all direct-damage Rock Moves used by the holder.,Volatile Bomb,The Pokémon never loses Loyalty from using Self-Destruct or Explosion.,,
,,Steel Booster,Grants a +5 Damage Bonus to all direct-damage Steel Moves used by the holder.,Wallclimber,"Wallclimber Pokémon often have suction cups, hooks, or other means of easily scaling walls or other vertical surfaces. They may travel along a wall or ceiling at a rate of half of their Overland Capability.",,
,,Water Booster,Grants a +5 Damage Bonus to all direct-damage Water Moves used by the holder.,Weathershape,"Castform’s appearance changes with the weather around it. It changes to its orange form in Sunny weather, its blue and grey form in Raining weather, its light blue form when it’s Hailing, a rocky brown form in a Sandstorm.",,
,,Type Brace,"These items come in a variety of each of the Elemental Types, and grant the holder 15 Damage Reduction against all direct-damage Moves of that specific Type.",Wielder,"Pokémon with the Wielder Capability gain a +2 bonus to Disarming and cannot have their natural weapons disarmed or removed by moves such as Thief, Covet, Switcheroo, and Trick. Small Pokémon with this capability may additionally wield man-made Small Melee weapons, gaining all normal benefits. Medium and higher size category Pokémon may wield Large Melee weapons. These weapons occupy the Pokémon’s Held Item slot when Wielded. Pokémon Wielding Weapons can only ever get access to Adept Combat Rank Moves from Weapons, even if their Combat Skill would allow them to qualify for higher.",,
,,Bug Brace,Grants the holder 15 Damage Reduction against all direct-damage Bug Moves.,Wired,"Wired Pokémon have a special relation to electronic devices. They can enter machines and travel through connected electronics through any cords that connect them instantly. If used by a Rotom, Rotom may take control of the machine from within, gaining a Move chosen by your GM based on the machine.",,
,,Dark Brace,Grants the holder 15 Damage Reduction against all direct-damage Dark Moves.,X-Ray Vision,"Pokémon and Trainers with the X-Ray Vision Capability can see through walls and solid objects up to a foot in thickness. Objects seen through X-Ray vision are seen as white shapes and outlines without much detailed definition. The effectiveness of X-Ray Vision depends on the object’s material. Anything thin from paper to light wood to most residential drywall allows clear X-Ray Vision through it, while lead and tungsten would block X-Ray Vision entirely.",,
,,Dragon Brace,Grants the holder 15 Damage Reduction against all direct-damage Dragon Moves.,Zapper,"The user’s struggle Attacks may be Electric-Typed if they wish. They may also add their Special Attack instead of their Attack and have the attack deal Special Damage, if they wish.",,
,,Electric Brace,Grants the holder 15 Damage Reduction against all direct-damage Electric Moves.,Forme Change,"The user is capable of changing formes through a Move, Ability, or other effect. Keep a set of Base Stats for each of the user’s forme. All Formes must have the same total HP Stat value. If anything (such as an Ability, Nature, Vitamin, etc.) alters the user’s base stats, all forms are affected in the same way.",,
,,Fairy Brace,Grants the holder 15 Damage Reduction against all direct-damage Fairy Moves.,Leaf Crafter,"The user knows how to make useful accessories from mere common leaves, seeds, and other mundane plant materials. Once per day as an extended action, the user may craft a Grass or Bug Type Booster or Brace. These Held Items last the rest of the day and then degrade.",,
,,Fighting Brace,Grants the holder 15 Damage Reduction against all direct-damage Fighting Moves.,Gardener,"Up to three times per day as an Extended Action, the user may apply Mulch to a yielding plant.",,
,,Fire Brace,Grants the holder 15 Damage Reduction against all direct-damage Fire Moves.,Viral Fusion,"Necrozma can assimilate other creatures, and bonding into a single Pokémon.
As an Extended Action, Necrozma may bond with a willing or helpless Pokémon, removing them from play until they are released as another Extended Action. Necrozma’s Movement and Jumping capabilities become the bonded Pokémon’s, as does Power if the bond’s is higher. Necrozma’s Athletics, Acrobatics, Combat, Stealth, and Perception become
the bonded Pokémon’s, though they are increased by one rank, to a maximum of 6d6. Necrozma takes the bond’s Primary Type (or Secondary Type if its Primary Type is Psychic) as its Secondary Type.
While bonded, the GM will designate one move as the bonded species’ Level-Up Movelist as its ‘signature move’. Necrozma may add this move to its learned movelist as long as it is bonded, following normal movelist restrictions, as long as it is of a level to learn it normally.
For Solgaleo, this move is always Sunsteel Strike; for Lunala, this move is always Moongeist Beam. These Pokémon have specific forms used while bonded.",,
,,Flying Brace,Grants the holder 15 Damage Reduction against all direct-damage Flying Moves.,Weapon Bond,"As an Extended Action, Zacian and Zamazenta may use an Ancestral Sword (Zacian) or Ancestral Shield (Zamazenta) to become Crowned Sword or Crowned Shield Forme respectively.  
While in Crowned Forme, the Pokemon may use a Move as though it were on its Movelist; for Zacian this is Behemoth Blade, and for Zamazenta this is Behemoth Bash.  
This form lasts until the Pokémon is Fainted or voluntarily relinquishes it as an Extended Action. ",,
,,Ghost Brace,Grants the holder 15 Damage Reduction against all direct-damage Ghost Moves.,Zygarde Cells,"Zygarde is composed of many cells, its strength determined by how many are gathered.
Using a Zygarde Cube, as an Extended Action, 10 Cells may be formed into a 10% Zygarde, and 50 Cells may be formed into a 50% Zygarde. These may be disassembled into the number of Cells that they were created from as an Extended Action. 100 Cells may form either a 10% or 50% Zygarde with the Power Construct Ability instead of Aura Break. The resulting Zygarde may not be disassembled, but may be changed between 10% and 50% Formes as an Extended Action using the Cube. The GM determines the Nature and Level of any Zygarde formed. As an Extended Action, a Cube may Tutor Zygarde available Cube moves for 1 TP each.",,
,,Grass Brace,Grants the holder 15 Damage Reduction against all direct-damage Grass Moves.,,,,
,,Ground Brace,Grants the holder 15 Damage Reduction against all direct-damage Ground Moves.,,,,
,,Ice Brace,Grants the holder 15 Damage Reduction against all direct-damage Ice Moves.,,,,
,,Normal Brace,Grants the holder 15 Damage Reduction against all direct-damage Normal Moves.,,,,
,,Poison Brace,Grants the holder 15 Damage Reduction against all direct-damage Poison Moves.,,,,
,,Psychic Brace,Grants the holder 15 Damage Reduction against all direct-damage Psychic Moves.,,,,
,,Rock Brace,Grants the holder 15 Damage Reduction against all direct-damage Rock Moves.,,,,
,,Steel Brace,Grants the holder 15 Damage Reduction against all direct-damage Steel Moves.,,,,
,,Water Brace,Grants the holder 15 Damage Reduction against all direct-damage Water Moves.,,,,
,,Type Gem,"These items come in a variety of each of the Elemental Types, and can be consumed as a Free Action to give a +3 Damage Base bonus to one attack of that specific Type.",,,,
,,Bug Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Bug-Type attack.,,,,
,,Dark Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Dark-Type attack.,,,,
,,Dragon Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Dragon-Type attack.,,,,
,,Electric Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Electric-Type attack.,,,,
,,Fairy Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Fairy-Type attack.,,,,
,,Fighting Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Fighting-Type attack.,,,,
,,Fire Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Fire-Type attack.,,,,
,,Flying Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Flying-Type attack.,,,,
,,Ghost Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Ghost-Type attack.,,,,
,,Grass Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Grass-Type attack.,,,,
,,Ground Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Ground-Type attack.,,,,
,,Ice Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Ice-Type attack.,,,,
,,Normal Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Normal-Type attack.,,,,
,,Poison Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Poison-Type attack.,,,,
,,Psychic Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Psychic-Type attack.,,,,
,,Rock Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Rock-Type attack.,,,,
,,Steel Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Steel-Type attack.,,,,
,,Water Gem,Can be consumed as a Free Action to give a +3 DB bonus to one Water-Type attack.,,,,
,,Type Plates,"These Rare items come in a variety of each of the Elemental Types, and act as both a Type Booster and a Type Brace.",,,,
,,Draco Plate,Acts as both a Dragon Booster and a Dragon Brace.,,,,
,,Dread Plate,Acts as both a Dark Booster and a Dark Brace.,,,,
,,Earth Plate,Acts as both a Ground Booster and a Ground Brace.,,,,
,,Fist Plate,Acts as both a Fighting Booster and a Fighting Brace.,,,,
,,Flame Plate,Acts as both a Fire Booster and a Fire Brace.,,,,
,,Icicle Plate,Acts as both an Ice Booster and an Ice Brace.,,,,
,,Insect Plate,Acts as both a Bug Booster and a Bug Brace.,,,,
,,Iron Plate,Acts as both a Steel Booster and a Steel Brace.,,,,
,,Meadow Plate,Acts as both a Grass Booster and a Grass Brace.,,,,
,,Mind Plate,Acts as both a Psychic Booster and a Psychic Brace.,,,,
,,Pixie Plate,Acts as both a Fairy Booster and a Fairy Brace.,,,,
,,Sky Plate,Acts as both a Flying Booster and a Flying Brace.,,,,
,,Splash Plate,Acts as both a Water Booster and a Water Brace.,,,,
,,Spooky Plate,Acts as both a Ghost Booster and a Ghost Brace.,,,,
,,Stone Plate,Acts as both a Rock Booster and a Rock Brace.,,,,
,,Toxic Plate,Acts as both a Poison Booster and a Poison Brace.,,,,
,,Zap Plate,Acts as both an Electric Booster and an Electric Brace.,,,,
,,Normal Plate,Acts as both a Normal Booster and a Normal Brace.,,,,
,,Winter Cloak,The holder does not take damage from Hail.,,,,
,,Metal Powder,"When held by an untransformed Ditto, increases both Defense and Special Defense by +2 Combat Stages.",,,,
,,Rare Leek,"When held by a Farfetch’d, increases critical range by +2; Wielded.",,,,
,,Thick Club,"When held by a Cubone or Marowak, grants the Pure Power Ability; Wielded.",,,,
,,Pink Pearl,"Acts as a Psychic Booster. If held by a Spoink, it also acts as a Special Attack Booster.",,,,
,,Tiny Mushroom,"The user loses 5 HP, and gains +1 Combat Stage in a random Stat.",,,,
,,Big Mushroom,"The user becomes Poisoned; if they do, they gain +1 Combat Stage in two random Stats.",,,,
,,Balm Mushroom,"The user is cured of Burn, Paralysis, or Poison. If they are, they lose 1 Combat Stage in a random Stat.",,,,
,,Adorable Fashion,The holder may activate this item once a Scene as a Free Action to gain +2 Evasion for one full round.,,,,
,,Elegant Fashion,The holder may activate this item once a Scene as a Free Action when losing Combat Stages from a foe’s effect to instead not lose those Combat Stages.,,,,
,,Rad Fashion,The holder may activate this item once a Scene as a Free Action to gain a +4 bonus to a single Save Check.,,,,
,,Rough Fashion,The holder may activate this item once a Scene as a Free Action to cause a foe within 5 meters to take a -2 penalty to all rolls for one full round.,,,,
,,Slick Fashion,The holder may activate this item once a Scene as a Free Action when provoking an Attack of Opportunity to instead not provoke one.,,,,
,,Mega Stone,An item that allows a Pokémon to Mega Evolve when used in conjunction with a Mega Ring. Each Mega Stone is specific to one species and Mega Evolved form.,,,,
,,Abomasite,Mega Evolves Abomasnow when used in conjuction with a Mega Ring.,,,,
,,Absolite,Mega Evolves Absol when used in conjuction with a Mega Ring.,,,,
,,Aerodactylite,Mega Evolves Aerodactyl when used in conjuction with a Mega Ring.,,,,
,,Aggronite,Mega Evolves Aggron when used in conjuction with a Mega Ring.,,,,
,,Alakazite,Mega Evolves Alakazam when used in conjuction with a Mega Ring.,,,,
,,Altarianite,Mega Evolves Altaria when used in conjuction with a Mega Ring.,,,,
,,Ampharosite,Mega Evolves Ampharos when used in conjuction with a Mega Ring.,,,,
,,Audinite,Mega Evolves Audino when used in conjuction with a Mega Ring.,,,,
,,Banettite,Mega Evolves Banette when used in conjuction with a Mega Ring.,,,,
,,Beedrillite,Mega Evolves Beedrill when used in conjuction with a Mega Ring.,,,,
,,Blastoisinite,Mega Evolves Blastoise when used in conjuction with a Mega Ring.,,,,
,,Blazikenite,Mega Evolves Blaziken when used in conjuction with a Mega Ring.,,,,
,,Cameruptite,Mega Evolves Camerupt when used in conjuction with a Mega Ring.,,,,
,,Charizardite X,Mega Evolves Charizard when used in conjuction with a Mega Ring.,,,,
,,Charizardite Y,Mega Evolves Charizard when used in conjuction with a Mega Ring.,,,,
,,Diancite,Mega Evolves Diancie when used in conjuction with a Mega Ring.,,,,
,,Galladite,Mega Evolves Gallade when used in conjuction with a Mega Ring.,,,,
,,Garchompite,Mega Evolves Garchomp when used in conjuction with a Mega Ring.,,,,
,,Gardevoirite,Mega Evolves Gardevoir when used in conjuction with a Mega Ring.,,,,
,,Gengarite,Mega Evolves Gengar when used in conjuction with a Mega Ring.,,,,
,,Glalitite,Mega Evolves Glalie when used in conjuction with a Mega Ring.,,,,
,,Gyaradosite,Mega Evolves Gyarados when used in conjuction with a Mega Ring.,,,,
,,Heracronite,Mega Evolves Heracross when used in conjuction with a Mega Ring.,,,,
,,Houndoominite,Mega Evolves Houndoom when used in conjuction with a Mega Ring.,,,,
,,Kangaskhanite,Mega Evolves Kangaskhan when used in conjuction with a Mega Ring.,,,,
,,Latiasite,Mega Evolves Latias when used in conjuction with a Mega Ring.,,,,
,,Latiosite,Mega Evolves Latios when used in conjuction with a Mega Ring.,,,,
,,Lopunnite,Mega Evolves Lopunny when used in conjuction with a Mega Ring.,,,,
,,Lucarionite,Mega Evolves Lucario when used in conjuction with a Mega Ring.,,,,
,,Manectite,Mega Evolves Manectric when used in conjuction with a Mega Ring.,Augments,,,
,,Mawilite,Mega Evolves Mawile when used in conjuction with a Mega Ring.,Name,Slot,Capability Used,Effect
,,Medichamite,Mega Evolves Medicham when used in conjuction with a Mega Ring.,Datajack,n/a,0,"The user may directly interface with computers, accessing the data through an Eye Slot Augmentation, external visor, Pokédex, or internal computer. The user can communicate wirelessly with others over networks using the Datajack."
,,Metagrossite,Mega Evolves Metagross when used in conjuction with a Mega Ring.,Enhanced Sight,Eyes,1,The user can see in the IR spectrum and gains the Darkvision Capability.
,,Mewtwonite X,Mega Evolves Mewtwo when used in conjuction with a Mega Ring.,Upgraded Enhanced Sight,Eyes,1,The user can see in the IR spectrum and gains the Darkvision and X-Ray Vision Capabilities.
,,Mewtwonite Y,Mega Evolves Mewtwo when used in conjuction with a Mega Ring.,Smart Vision,Eyes,2,"The user cannot have their Accuracy lowered, and their attacks cannot have Accuracy Penalties."
,,Pidgeotite,Mega Evolves Pidgeotto when used in conjuction with a Mega Ring.,Upgraded Smart Vision,Eyes,2,"The user cannot have their Accuracy lowered, and their attacks cannot have Accuracy Penalties.  The user learns the Move Feint without taking a Move Slot."
,,Pinsirite,Mega Evolves Pinsir when used in conjuction with a Mega Ring.,Synthetic Muscle,Limbs,2,The user gains a +2 bonus to their Power Capability and +1 to both High and Long Jump Capabilities.
,,Sablenite,Mega Evolves Sableye when used in conjuction with a Mega Ring.,Upgraded Synthetic Muscle,Limbs,2,The user gains a +2 bonus to their Power Capability and +1 to both High and Long Jump Capabilities.  The user recovers from Injuries twice as fast and heals one more Injury per day.
,,Salamencite,Mega Evolves Salamence when used in conjuction with a Mega Ring.,Embedded Weaponry,Limbs,3,"Choose Small Melee or Short Range. The user is always treated as equipped with the chosen type of Weapon at a Simple Quality, without consuming an equipment slot, and it may not be disarmed. When installed, choose Bash!, Cheap Shot, or Pierce! for this Weapon’s Adept Move. The user may use Technology Education to qualify for Moves from this Weapon."
,,Sceptilite,Mega Evolves Sceptile when used in conjuction with a Mega Ring.,Upgraded Embedded Weaponry,Limbs,3,"Choose Small Melee or Short Range. The user is always treated as equipped with the chosen type of Weapon at a Fine Quality, without consuming an equipment slot, and it may not be disarmed. When installed, choose Bash!, Cheap Shot, or Pierce! for this Weapon’s Adept Move, with Deadly Strike as this weapon's Master Move. The user may use Technology Education to qualify for Moves from this Weapon."
,,Scizorite,Mega Evolves Scizor when used in conjuction with a Mega Ring.,Medical Nanobots,Body,2,"Three times a day as an Extended Action, the user may gain a Digestion/Food Buff as if they had consumed Leftovers. This does not take up one of the user’s normal Digestion/Food Buff slots, but they may only have one Digestion/Food Buff gained this way at a time."
,,Sharpedonite,Mega Evolves Sharpedo when used in conjuction with a Mega Ring.,Upgraded Medical Nanobots,Body,2,"Three times a day as an Extended Action, the user may gain a Digestion/Food Buff as if they had consumed Leftovers. This does not take up one of the user’s normal Digestion/Food Buff slots, but they may only have one Digestion/Food Buff gained this way at a time.  Once a Scene, the user may cure themselves of all Persistent Status Afflictions as a Standard Action."
,,Slowbronite,Mega Evolves Slowbro when used in conjuction with a Mega Ring.,Wired Reflexes,Body,3,The user begins each Scene with two Reflex Points. These may be spent as a Swift Action on their turn to give them a +2 bonus to their Accuracy (before rolling) or their Evasion for one full round.
,,Steelixite,Mega Evolves Steelix when used in conjuction with a Mega Ring.,Upgraded Wired Reflexes,Body,3,The user begins each Scene with two Reflex Points. These may be spent as a Swift Action on their turn to give them a +2 bonus to their Accuracy (before rolling) or their Evasion for one full round.
,,Swampertite,Mega Evolves Swampert when used in conjuction with a Mega Ring.,Dermal Plating,Dermal,3,"Once a Scene, the user may take Physical Damage as if they resisted it one step further."
,,Tyranitarite,Mega Evolves Tyranitar when used in conjuction with a Mega Ring.,Upgraded Dermal Plating,Dermal,3,"Once a Scene, the user may take Physical or Special Damage as if they resisted it one step further."
,,Venusaurite,Mega Evolves Venusaur when used in conjuction with a Mega Ring.,Thermal-Optical Camouflage,Dermal,4,"The user may activate the Invisibility Capability once per Scene. While Invisible, the user can’t be seen by thermal imagining equipment."
,,Venusaurite,Mega Evolves Venusaur when used in conjuction with a Mega Ring.,Upgraded Thermal-Optical Camouflage,Dermal,4,"The user may activate the Invisibility Capability once per Scene. While Invisible, the user can’t be seen by thermal imagining equipment, and is invisible to Aura Reading and Thought Detection."
